;Q2_1_a;Q2_2_a;Q2_3_a;Q2_4_a;Q2_5_a;Q2_6_a;Q2_7_a;Q2_8_a;Q2_9_a;Q2_10_a;Q2_11_a;Q2_12_a;Q2_13_a;Q2_14_a;Q3_1_a;Q3_2_a;Q3_3_a;Q3_4_a;Q3_5_a;Q3_6_a;Q3_7_a;Q3_8_a;Q3_9_a;Q3_10_a;Q3_11_a;Q3_12_a;Q3_13_a;Q4_1_a;Q4_2_a;Q4_3_a;Q4_4_a;Q4_5_a;Q4_6_a;Q4_7_a;Q4_8_a;Q4_9_a;Q4_10_a;Q4_11_a;Q4_12_a;Q4_13_a
IE001;1;1;5;5;1;1;5;1;1;1;5;5;5;5;3;1;1;1;5;1;4;2;1;2;2;1;4;5;1;1;1;1;1;1;1;1;1;1;1;5
IE002;1;1;1;4;1;2;4;1;1;1;2;4;2;2;2;2;1;2;4;2;4;1;1;1;2;2;4;4;2;2;1;1;1;1;2;1;2;2;5;2
IE003;1;1;4;5;2;2;3;2;2;2;4;4;2;2;3;1;1;2;3;2;3;2;1;1;1;1;2;4;1;3;2;2;2;2;3;2;3;3;3;3
IE004;1;1;5;5;2;1;5;1;1;1;5;5;1;1;4;5;1;1;4;1;4;2;2;1;4;2;5;5;1;1;1;1;4;1;1;1;1;1;1;3
IE005;1;1;5;1;2;2;4;1;1;4;3;4;2;1;2;1;1;2;2;1;3;1;1;1;1;1;2;4;1;2;1;1;1;1;3;1;1;5;5;3
IE006;1;1;4;4;2;1;4;1;2;2;2;5;2;2;1;1;1;1;2;1;4;1;1;2;4;1;4;4;1;2;1;1;1;1;5;1;4;4;4;1
IE007;1;1;2;4;1;2;4;1;2;1;2;5;1;1;2;1;2;2;1;1;4;2;1;2;2;1;2;3;1;2;2;1;1;1;2;1;2;1;1;2
IE009;1;1;1;5;1;1;3;1;2;3;3;4;1;1;3;2;2;2;2;2;3;2;2;2;2;2;2;5;1;3;3;1;1;1;3;1;2;3;3;3
IE010;1;1;5;5;2;2;5;1;1;1;4;5;1;1;4;2;2;3;2;2;3;3;2;3;4;2;4;5;1;3;1;2;1;1;1;1;3;3;2;2
IE012;1;1;5;5;1;1;5;1;2;3;3;5;3;3;3;1;1;3;3;1;3;1;1;3;3;1;3;5;1;3;3;3;1;3;3;1;1;3;3;3
IE013;1;1;5;5;2;2;5;1;1;1;4;5;2;2;3;1;1;2;4;1;3;2;1;2;4;1;4;5;1;1;1;1;1;1;1;1;1;1;2;3
IE014;1;1;5;5;2;1;5;1;2;2;4;4;1;2;2;3;2;1;3;1;3;3;1;2;2;2;2;5;1;2;1;1;1;1;1;1;1;1;1;1
IE015;1;1;5;5;1;5;4;1;1;1;4;5;1;1;1;1;1;1;2;1;3;2;1;1;2;1;2;5;1;1;1;1;1;1;3;2;2;2;2;2
IE017;1;1;5;5;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3
IE020;1;1;1;5;3;3;5;2;2;1;4;4;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
IE021;1;1;5;5;2;1;5;1;1;1;5;5;1;1;1;1;1;1;2;1;3;2;2;3;3;3;4;5;1;3;1;1;1;1;3;1;1;3;3;3
IE023;1;1;5;5;1;1;5;3;1;1;5;5;1;1;1;1;1;1;2;1;3;1;1;1;1;1;3;5;1;1;1;1;1;1;3;1;3;3;3;1
IE024;1;2;4;4;1;2;3;1;2;2;2;4;1;1;2;2;2;2;2;2;3;1;1;1;2;2;2;5;2;2;1;1;1;1;2;1;1;3;3;2
IE025;1;1;5;5;1;1;3;1;3;3;4;5;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;3;1;1;1;1;1;1;3;1;2;3;3;1
IE026;1;1;5;5;2;2;4;3;3;3;3;4;3;2;1;1;1;1;1;1;2;1;1;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3
