org_id;cluster_author_majority;cluster_marginal
IE001;2;array([ 0., 25., 50.,  0.,  0., 25.,  0.,  0.,  0.,  0.])
IE002;3;array([  0.,   0.,   0., 100.,   0.,   0.,   0.,   0.,   0.,   0.])
IE004;2;array([ 0.,  0., 80.,  0.,  0., 10.,  0.,  0., 10.,  0.])
IE005;0;array([100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE006;1;array([  0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE007;1;array([  0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE009;1;array([  0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE010;2;array([  0.,   0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE012;2;array([  0.,   0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE013;2;array([  0.,   0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE014;1;array([  0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE015;1;array([20., 80.,  0.,  0.,  0.,  0.,  0.,  0.,  0.,  0.])
IE017;2;array([  0.,   0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE021;5;array([ 0.,  0., 50.,  0.,  0., 50.,  0.,  0.,  0.,  0.])
IE023;8;array([ 0., 25.,  0., 25.,  0.,  0.,  0.,  0., 50.,  0.])
IE024;3;array([ 0.,  0.,  0., 80.,  0.,  0., 20.,  0.,  0.,  0.])
IE025;3;array([ 0.,  0.,  0., 50.,  0., 25., 25.,  0.,  0.,  0.])
IE026;3;array([ 0.,  0.,  0., 40.,  0.,  0., 20.,  0., 40.,  0.])
IE027;3;array([ 0.,  0.,  0., 50.,  0.,  0.,  0.,  0., 50.,  0.])
IE029;8;array([ 0.,  0.,  0., 50.,  0.,  0.,  0.,  0., 50.,  0.])
IE030;1;array([ 4.16666667, 33.33333333,  4.16666667,  8.33333333, 16.66666667,
        0.        ,  8.33333333,  4.16666667, 20.83333333,  0.        ])
IE034;1;array([  0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE036;1;array([  0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE037;2;array([  0.,   0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE039;5;array([  0.,   0.,   0.,   0.,   0., 100.,   0.,   0.,   0.,   0.])
IE041;1;array([ 0., 80.,  0.,  0.,  0.,  0.,  0.,  0., 20.,  0.])
IE042;5;array([  0.,   0.,   0.,   0.,   0., 100.,   0.,   0.,   0.,   0.])
IE043;2;array([  0.,   0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE044;6;array([  0.,   0.,   0.,   0.,   0.,   0., 100.,   0.,   0.,   0.])
IE045;3;array([ 2.85714286,  2.85714286,  2.85714286, 91.42857143,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ])
IE046;4;array([ 0.,  0.,  0.,  0., 90., 10.,  0.,  0.,  0.,  0.])
IE047;2;array([  0.,   0., 100.,   0.,   0.,   0.,   0.,   0.,   0.,   0.])
IE048;2;array([ 0.,  0., 75.,  0.,  0.,  0.,  0.,  0., 25.,  0.])
IE050;8;array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 100.,   0.])
IE051;3;array([ 0.        ,  0.        ,  0.        , 90.90909091,  0.        ,
        0.        ,  9.09090909,  0.        ,  0.        ,  0.        ])
